Индекс,Тип региона,Регион,Тип района,Район,Тип города,Город,Тип н/п,Н/п,Код КЛАДР,Код ФИАС,Уровень по ФИАС,Признак центра района или региона,Код ОКАТО,Код ОКТМО,Код ИФНС,Часовой пояс,Широта,Долгота,Федеральный округ,Население
416500,обл,Астраханская,р-н,Ахтубинский,г,Ахтубинск,,,3000200100000,8d7acd62-cef4-4d5c-8057-644ee454ce6c,4: город,1,12205501000,12605101,3022,UTC43,48.2753078,46.1906741,Южный,41898
416540,обл,Астраханская,,,г,Знаменск,,,3000000200000,54ecd5a8-83d9-4a85-ae2c-6fe6976ab716,4: город,0,12519000000,12719000,3022,UTC44,48.5865618,45.7367908,Южный,29357
416340,обл,Астраханская,р-н,Камызякский,г,Камызяк,,,3000600100000,bc643e13-dcc5-4fa4-8cb1-94f71c5c18f4,4: город,1,12225501000,12625101,3023,UTC45,46.1105429,48.0732724,Южный,16291
416111,обл,Астраханская,р-н,Наримановский,г,Нариманов,,,3000900100000,46ce55dd-e3e2-4c31-ab3c-273423c2f782,4: город,1,12240501000,12640101,3023,UTC46,46.6916597,47.8501624,Южный,11386
416010,обл,Астраханская,р-н,Харабалинский,г,Харабали,,,3001100100000,08373220-e187-4094-82de-b8e0864c5f38,4: город,1,12245501000,12645101,3000,UTC47,47.4089187,47.2524467,Южный,18209
452920,Респ,Башкортостан,,,г,Агидель,,,0200000200000,8294b97c-7553-499e-8369-821d6eb0fdc7,4: город,0,80403000000,80703000,0264,UTC49,55.89976,53.9221149,Приволжский,16365
453630,Респ,Башкортостан,р-н,Баймакский,г,Баймак,,,0200600100000,874d4c58-31cd-4309-80db-8f14863efdbb,4: город,1,80404000000,80606101001,0267,UTC50,52.5912632,58.3111995,Приволжский,17710
452000,Респ,Башкортостан,р-н,Белебеевский,г,Белебей,,,0200900100000,11e85c3e-c276-43b3-94e8-6b7f6cde5ac1,4: город,1,80405000000,80609101,0200,UTC51,54.1033832,54.1111878,Приволжский,60183
453500,Респ,Башкортостан,р-н,Белорецкий,г,Белорецк,,,0201100100000,dd65b1de-c076-4126-9b56-c4b4979e2b0f,4: город,1,80410000000,80611101,0200,UTC52,53.9675927,58.4099562,Приволжский,68804
452450,Респ,Башкортостан,р-н,Бирский,г,Бирск,,,0201300100000,8c049a5c-f080-4052-93a9-89decf401900,4: город,1,80415000000,80613101,0277,UTC53,55.4157107,55.5582335,Приволжский,41637
453430,Респ,Башкортостан,р-н,Благовещенский,г,Благовещенск,,,0201500100000,da7ef573-cdbe-458e-a790-b29ad3a3d140,4: город,1,80417000000,80615101,0277,UTC54,55.0499592,55.955309,Приволжский,34246
453400,Респ,Башкортостан,р-н,Давлекановский,г,Давлеканово,,,0205900100000,d820f602-8763-4f63-be89-10077a2f025b,4: город,1,80419000000,80622101,0273,UTC55,54.2227617,55.0313419,Приволжский,24040
452320,Респ,Башкортостан,р-н,Дюртюлинский,г,Дюртюли,,,0206000100000,d4ac608f-5096-4529-bab2-68a26c64272e,4: город,1,80418000000,80624101,0278,UTC56,55.4848047,54.8524875,Приволжский,31272
453200,Респ,Башкортостан,р-н,Ишимбайский,г,Ишимбай,,,0202600100000,b3d2e10f-752d-4b90-b54b-9d6545f38ae0,4: город,1,80420000000,80631101,0261,UTC57,53.4546314,56.043874,Приволжский,66259
453300,Респ,Башкортостан,,,г,Кумертау,,,0200000700000,48e38991-07fd-4aaa-b240-a7280e4a823f,4: город,0,80423000000,80723000,0261,UTC58,52.7565537,55.7969915,Приволжский,62854
453570,Респ,Башкортостан,,,г,Межгорье,,,0200000800000,5fd3a551-8553-4571-bfc8-2bfb211686f5,4: город,0,80507000000,80707000,0200,UTC59,54.239683,57.96146,Приволжский,17353
453853,Респ,Башкортостан,р-н,Мелеузовский,г,Мелеуз,,,0203500100000,c516337d-f590-439b-83ad-6f15a9325740,4: город,1,80425000000,80641101,0261,UTC60,52.9590637,55.9283483,Приволжский,61408
452680,Респ,Башкортостан,,,г,Нефтекамск,,,0200000300000,2c9997d2-ce94-431a-96c9-722d2238d5c8,4: город,0,80427000000,80727000001,0264,UTC61,56.0883075,54.2483391,Приволжский,121757
452601,Респ,Башкортостан,,,г,Октябрьский,,,0200000400000,abd1bc35-ec51-437a-abee-76a4f620f662,4: город,0,80435000000,80735000,0269,UTC62,54.4815344,53.4656611,Приволжский,109379
453250,Респ,Башкортостан,,,г,Салават,,,0200000500000,fc14353f-5a1d-4f22-94ea-b900bad9a9f1,4: город,0,80439000000,80739000001,0261,UTC63,53.3616311,55.9245559,Приволжский,156085
453830,Респ,Башкортостан,,,г,Сибай,,,0200000600000,d7825646-76f7-4322-a88c-42cc90cbd2b2,4: город,0,80443000000,80743000001,0267,UTC64,52.7205811,58.6663303,Приволжский,62732
453100,Респ,Башкортостан,,,г,Стерлитамак,,,0200001400000,84e0b23d-82fe-40a8-8739-55e679780dc3,4: город,1,80445000000,80745000,0268,UTC65,53.6302498,55.9315707,Приволжский,273432
452750,Респ,Башкортостан,р-н,Туймазинский,г,Туймазы,,,0204400100000,511a0136-f60c-451b-a2eb-3402103f1223,4: город,1,80450000000,80651101,0269,UTC66,54.5999889,53.6949081,Приволжский,66849
450000,Респ,Башкортостан,,,г,Уфа,,,0200000100000,7339e834-2cb4-4734-a4c7-1fca2c66e562,4: город,3,80401000000,80701000,0200,UTC67,54.734853,55.9578647,Приволжский,1062300
453700,Респ,Башкортостан,р-н,Учалинский,г,Учалы,,,0204600100000,7b2b052a-49df-4aff-a36f-fb82957da2ea,4: город,1,80455000000,80653101,0256,UTC68,54.3066965,59.4126559,Приволжский,37771
452800,Респ,Башкортостан,р-н,Янаульский,г,Янаул,,,0205200100000,21de303b-205d-4d37-81c9-63d10246e1af,4: город,1,80460000000,80659101,0264,UTC69,56.2650336,54.9298314,Приволжский,26988
309850,обл,Белгородская,р-н,Алексеевский,г,Алексеевка,,,3100200100000,94969f84-fff4-4ddf-9677-b912b4b2aa3e,4: город,1,14410000000,14605101001,3122,UTC68,50.6299932,38.6881776,Центральный,39026
